0.04075 	-0.322005 	-0.0504468 	2.75367e-22
0.0710455 	-0.0938182 	-2.45748e-05 	0
0.101341 	-0.0713904 	-1.05874e-05 	0
0.131636 	-0.0600714 	-6.27992e-06 	0
0.161932 	-0.0528831 	-4.24767e-06 	0
0.192227 	-0.047826 	-3.11015e-06 	0
0.222523 	-0.0440338 	-2.40012e-06 	0
0.252818 	-0.0410526 	-1.90249e-06 	0
0.283114 	-0.0386986 	-1.47575e-06 	0
0.313409 	-0.0368481 	-1.18064e-06 	0
0.343705 	-0.035726 	-3.71889e-07 	0
0.404295 	-0.0360493 	4.93816e-07 	0
0.434591 	-0.0370353 	8.8199e-07 	0
0.464886 	-0.0386595 	1.6598e-06 	0
0.495182 	-0.0415389 	2.45351e-06 	0
0.525477 	-0.0453181 	2.74388e-06 	0
0.586068 	-0.0522056 	2.33754e-06 	0
0.616364 	-0.0556838 	2.66878e-06 	0
0.676955 	-0.0625324 	1.67866e-06 	0
0.70725 	-0.0649409 	1.55313e-06 	0
0.737545 	-0.0663627 	5.93086e-07 	0
0.798136 	-0.0669963 	1.721e-08 	0
0.828432 	-0.0669399 	-8.52276e-08 	0
0.858727 	-0.066775 	-1.47857e-07 	0
0.889023 	-0.0665412 	-1.85711e-07 	0
0.919318 	-0.0662656 	-2.09317e-07 	0
0.949614 	-0.065963 	-2.23304e-07 	0
0.979909 	-0.065645 	-2.33463e-07 	0
1.0405 	-0.0649766 	-2.44256e-07 	0
1.0708 	-0.0646364 	-2.4387e-07 	0
1.13139 	-0.063963 	-2.37416e-07 	0
1.16168 	-0.0636341 	-2.32517e-07 	0
1.19198 	-0.0633135 	-2.26765e-07 	0
1.25257 	-0.0626979 	-2.14778e-07 	0
1.31316 	-0.0621149 	-2.03467e-07 	0
1.34345 	-0.0618351 	-1.97861e-07 	0
1.37375 	-0.0615636 	-1.92033e-07 	0
1.40405 	-0.0612997 	-1.87139e-07 	0
1.43434 	-0.0610434 	-1.79358e-07 	0
1.46464 	-0.060794 	-1.75741e-07 	0
1.49493 	-0.0605523 	-1.71145e-07 	0
1.52523 	-0.0603165 	-1.66648e-07 	0
1.55552 	-0.0600867 	-1.61888e-07 	0
1.58582 	-0.0598639 	-1.57348e-07 	0
1.64641 	-0.0594352 	-1.51297e-07 	0
1.6767 	-0.0592286 	-1.46536e-07 	0
1.7373 	-0.0588311 	-1.37907e-07 	0
1.76759 	-0.0586397 	-1.34068e-07 	0
1.79789 	-0.0584527 	-1.30975e-07 	0
1.82818 	-0.0582701 	-1.26976e-07 	0
1.85848 	-0.0580919 	-1.2396e-07 	0
1.88877 	-0.057918 	-1.20419e-07 	0
1.91907 	-0.0577479 	-1.19695e-07 	0
1.94936 	-0.0575815 	-1.17356e-07 	0
1.97966 	-0.0574188 	-1.14569e-07 	0
2.00995 	-0.0572596 	-1.11866e-07 	0
2.04025 	-0.0571039 	-1.09318e-07 	0
2.07055 	-0.0569513 	-1.06942e-07 	0
2.10084 	-0.0568017 	-1.04773e-07 	0
2.16143 	-0.0565125 	-1.00805e-07 	0
2.19173 	-0.0563722 	-9.78409e-08 	0
2.22202 	-0.0562346 	-9.50833e-08 	0
2.25232 	-0.0560994 	-9.41313e-08 	0
2.28261 	-0.0559676 	-9.11697e-08 	0
2.31291 	-0.055838 	-9.00978e-08 	0
2.3735 	-0.0555855 	-8.71297e-08 	0
2.4038 	-0.0554632 	-8.59636e-08 	0
2.43409 	-0.0553426 	-8.44756e-08 	0
2.49468 	-0.0551083 	-8.13303e-08 	0
2.52498 	-0.0549939 	-8.20713e-08 	0
2.55527 	-0.0548814 	-8.49005e-08 	0
2.58557 	-0.0547713 	-8.12614e-08 	0
2.61586 	-0.0546624 	-7.68921e-08 	0
2.64616 	-0.0545556 	-7.5706e-08 	0
2.67645 	-0.0544504 	-7.47349e-08 	0
2.70675 	-0.0543465 	-7.39226e-08 	0
2.73705 	-0.0542439 	-7.28601e-08 	0
2.76734 	-0.0541425 	-7.20202e-08 	0
2.79764 	-0.054045 	-7.22417e-08 	0
2.85823 	-0.0538395 	-6.78806e-08 	0
2.88852 	-0.0537517 	-6.59861e-08 	0
2.91882 	-0.0536735 	-6.47723e-08 	0
2.94911 	-0.0535717 	-6.82244e-08 	0
3.0097 	-0.039635 	-5.51155e-08 	0
3.04 	-0.0246981 	-3.56337e-08 	0
