0.04075 	0.0403773
0.0710455 	0.0362087
0.101341 	0.032826
0.131636 	0.030004
0.161932 	0.0276147
0.192227 	0.0255666
0.222523 	0.023792
0.252818 	0.0222401
0.283114 	0.020872
0.313409 	0.0196573
0.343705 	0.0185716
0.374 	0.0175956
0.404295 	0.0167136
0.434591 	0.0159128
0.464886 	0.0151824
0.495182 	0.0145139
0.525477 	0.0138996
0.555773 	0.0133333
0.586068 	0.0128098
0.616364 	0.0123245
0.646659 	0.0118734
0.676955 	0.0114531
0.70725 	0.0110607
0.737545 	0.0106935
0.767841 	0.0103491
0.798136 	0.0100256
0.828432 	0.0097212
0.858727 	0.0094341
0.889023 	0.00916308
0.919318 	0.00890663
0.949614 	0.00866387
0.979909 	0.0084335
1.0102 	0.00821466
1.0405 	0.00800676
1.0708 	0.00780877
1.10109 	0.00762004
1.13139 	0.00744
1.16168 	0.0072679
1.19198 	0.00710346
1.22227 	0.00694606
1.25257 	0.00679515
1.28286 	0.00665059
1.31316 	0.00651228
1.34345 	0.00637891
1.37375 	0.00625112
1.40405 	0.006128
1.43434 	0.00600977
1.46464 	0.00589532
1.49493 	0.00578591
1.52523 	0.00567983
1.55552 	0.00557713
1.58582 	0.00547876
1.61611 	0.00538365
1.64641 	0.00529147
1.6767 	0.00520215
1.707 	0.0051157
1.7373 	0.00503203
1.76759 	0.00495101
1.79789 	0.00487255
1.82818 	0.00479654
1.85848 	0.00472286
1.88877 	0.00465142
1.91907 	0.00458211
1.94936 	0.00451482
1.97966 	0.00444944
2.00995 	0.00438581
2.04025 	0.00432382
2.07055 	0.00426342
2.10084 	0.00420476
2.13114 	0.00414796
2.16143 	0.00409233
2.19173 	0.0040379
2.22202 	0.00398599
2.25232 	0.00393734
2.28261 	0.00388574
2.31291 	0.00383487
2.3432 	0.00379376
2.3735 	0.00375385
2.4038 	0.00369727
2.43409 	0.00366535
2.46439 	0.00364923
2.49468 	0.00357576
2.52498 	0.00356891
2.55527 	0.00357722
2.58557 	0.00348091
2.61586 	0.00355976
2.64616 	0.0035176
2.67645 	0.00346795
2.70675 	0.00369781
2.73705 	0.00344954
2.76734 	0.00379153
2.79764 	0.00363776
2.82793 	0.00382123
2.85823 	0.00406822
2.88852 	0.00393752
2.91882 	0.00464562
2.94911 	0.00408511
2.97941 	0.00561293
3.0097 	0.00503458
3.04 	0.00642496
